conf,precision,recall,f1,mAP50,mAP50_95,R_helmet,R_head,R_person
0.001,0.6215,0.5821,0.6011,0.627,0.4117,0.8949,0.8513,0.0
0.05,0.6215,0.5821,0.6011,0.627,0.4323,0.8949,0.8513,0.0
0.1,0.6215,0.5821,0.6011,0.6266,0.4354,0.8949,0.8513,0.0
0.25,0.6215,0.5821,0.6011,0.6195,0.4344,0.8949,0.8513,0.0
0.4,0.6214,0.5827,0.6014,0.6145,0.4341,0.8959,0.8523,0.0
0.55,0.6325,0.5603,0.5942,0.6038,0.4303,0.865,0.8158,0.0
0.7,0.6483,0.4989,0.5639,0.5758,0.4198,0.7853,0.7114,0.0
