iou_nms,precision,recall,f1,mAP50,mAP50_95
0.3,0.6228,0.5811,0.6012,0.6279,0.4155
0.45,0.6229,0.5816,0.6015,0.6285,0.4144
0.5,0.6225,0.5816,0.6014,0.6286,0.4139
0.6,0.6224,0.5818,0.6014,0.6283,0.413
0.7,0.6215,0.5821,0.6011,0.627,0.4117
0.8,0.6189,0.5822,0.6,0.6236,0.4107
0.9,0.6033,0.5616,0.5817,0.6106,0.4058
